Status,Handle,ID,Name,Followers,Tweets,Date Created,Date Active
Active,@Bill_Hogarth,601029755,William Hogarth,559,144,2012-06-06,2022-08-24
Active,@IdeologyWars,816039689127739392,Ideology Wars,50284,15470,2017-01-02,2022-08-22
Active,@IrishAntifa,1204214253953191937,Irish Students Against Globalism,3379,11650,2019-12-09,2022-08-06
Active,@Tombstone1954,902156160945573890,Dr. Tombstone ®️,31909,60648,2017-08-28,2022-08-22
Deleted,@alaztekiyyah,940648790050172929,,,,2017-12-13,2019-11-08
Deleted,@antifa__ny,1143316962694639616,,,,2019-06-24,2019-07-04
Deleted,@AntifaAnchorage,847761800099581952,,1157,1839,2017-03-31,2019-09-05
Deleted,@AntifaAnchorGE,847761800099581952,,,,2017-03-31,
Deleted,@AntifaCobb,908687679293968385,,,,2017-09-14,2017-09-22
Deleted,@AntifaDumpster,857400234946818048,,87,850,2017-04-26,2017-07-24
Deleted,@AntifaHolyG,871480010288369667,,9,31,2017-06-04,2017-06-11
Deleted,@AntifaHonolulu,911955276776955905,,,,2017-09-24,2018-01-19
Deleted,@AntifalasVegas,900045181264642048,,,,,2017-09-05
Deleted,@AntifaLousiana,897279041308327936,,,,2017-08-14,2017-09-12
Deleted,@AntifaNorthwest,847720091085021186,,463,926,2017-03-31,2020-10-19
Deleted,@AntifaOslo,1180773732111048704,AntifaOslo,,,2019-10-06,2019-10-06
Deleted,@AntifaTaunus,847751023401644033,,325,1222,2017-03-31,2018-05-03
Deleted,@AntifaUSAnet,1169344502898671616,,,,2019-09-04,
Deleted,@AntifaUSAorg,1169344502898671616,,,,2019-09-04,2019-12-17
Deleted,@AntifaYoung,1242873845419315201,,,,2020-03-25,2020-06-02
Deleted,@Aspen_ANTIFA,848004257299271681,,1322,1319,2017-03-31,2017-09-25
Deleted,@BasedDumpster,857400234946818048,,,,2017-04-26,
Deleted,@BelfastAntiFash,883573988080930816,,148,411,2017-07-08,2018-10-06
Deleted,@BitcoinAntifa,926620198269894656,BitcoinAntifa,,,2017-11-03,2019-05-04
Deleted,@Burnt237,915827041139904513,,,,2017-10-04,
Deleted,@Burnt246,915827041139904513,,,,2017-10-04,
Deleted,@Burnt247,915827041139904513,,,,2017-10-04,
Deleted,@CambridgeAntifa,4872202168,,1065,6548,,2017-11-30
Deleted,@CapitalAntifa,902803099957506048,,,,2017-08-30,
Deleted,@ChinaJoeBiden,901093416267911174,,,,2017-08-24,
Deleted,@CointelAntifa,915827041139904513,,,,2017-10-04,
Deleted,@CointelproAntif,915827041139904513,,,,2017-10-04,2017-12-08
Deleted,@ComptonAntifa,849541771940044802,,,,2017-04-03,2017-08-23
Deleted,@DavefilmsUs,62689793,,,,,2022-04-10
Deleted,@DCAntifa,902803099957506048,,,,2017-08-30,
Deleted,@Dedlex2,915827041139904513,,,,2017-10-04,
Deleted,@DentonAntifa,849653480377733120,,350,200,2017-04-04,2017-08-22
Deleted,@DixHillsAntifa,877529140181839873,,342,3958,2017-06-19,2017-09-27
Deleted,@DSA_ImWithHer,940648790050172929,,,,2017-12-13,
Deleted,@EdinaAntifa,930848259861598209,,,,2017-11-14,2019-05-08
Deleted,@Elementary4321,901914653751742466,,,,2017-08-26,
Deleted,@EuropeAntifa,712139540274614272,,,,2016-03-21,2021-07-20
Deleted,@FitzgeraldDonut,751639470529798144,Bikini Bottom Antifa,,,,2017-06-01
Deleted,@FreeportAntifa,862234525040087040,,,,,2017-05-12
Deleted,@HillbillyAntifa,780318123090063360,BackWoodsAntiFa,,,,2017-04-17
Deleted,@HyruleAntifa,903598607445712896,,112,294,2017-08-31,2018-01-16
Deleted,@IsraeliAntifa,902803099957506048,,174,705,2017-08-30,2017-11-19
Deleted,@Josephs84904576,847947128160649216,,,,2017-03-31,
Deleted,@just8anapple,728229632714100736,,,,2016-05-07,2020-10-11
Deleted,@KaczynskiAntifa,915827041139904513,,,,2017-10-04,
Deleted,@KoelnAntifa,854432953484681217,,,,,2017-04-26
Deleted,@MainePlumber77,862234525040087040,,,,,2018-03-30
Deleted,@MalibuAntifa2,1060717353267290113,,,,2018-11-08,2018-12-31
Deleted,@MalibuAntifa3,1060717353267290113,,,,2018-11-08,
Deleted,@MamaAntifa,901093416267911174,,26,75,2017-08-24,2020-11-20
Deleted,@MaplBluffANTIFA,848001975660814336,,453,366,2017-03-31,2017-09-01
Deleted,@MAXIMEDELATTC,702650304513368065,,,,2016-02-25,2017-08-23
Deleted,@Nazipuncher_69,924347641126948865,Groyper Aunt Tifa ☭,,,2017-10-28,2017-11-28
Deleted,@NewcastleAntifa,892379002903699456,,198,235,2017-07-31,2018-01-30
Deleted,@OxnardAntifa,1064544756041244672,,,,2018-11-19,
Deleted,@OxnardAntifa2,1064544756041244672,,,,2018-11-19,2018-12-31
Deleted,@PaloAltoAntifa,848240593998237698,,,,2017-04-01,2017-08-15
Deleted,@PVAntifa3,1055273311540834304,,,,2018-10-24,2019-05-23
Deleted,@RealAntifa101,902823644921024512,,,,2017-08-30,2018-07-26
Deleted,@SanJoseAntifa,848749151663792129,,782,406,2017-04-02,2017-08-25
Deleted,@shafiishawty,940648790050172929,,,,2017-12-13,
Deleted,@StarfleetAntifa,908449305928830976,,,,2017-09-13,2020-09-06
Deleted,@TruthsFreeAgain,902823644921024512,,,,2017-08-30,
Deleted,@TxPaso,1032649284351606784,ElPasoTXAntifa1,,,2018-08-23,2018-11-05
Deleted,@UnibomberAntifa,915827041139904513,,,,2017-10-04,
Deleted,@VancouverAntifa,847947128160649216,,1160,1559,2017-03-31,2017-04-17
Deleted,@WashakieAntifa,903734500349194240,Washakie Antifa,,,2017-08-31,2019-06-06
Deleted,@WayneHo07899148,901914653751742466,,,,2017-08-26,2018-09-05
Deleted,@YoungAnarchistt,1242873845419315201,,,,2020-03-25,
Deleted,@1zig6zag1,1499276083505553411,,,,2022-03-03,
Deleted,@ArrowsDown161,803877035693264897,,,,,2019-08-31
Deleted,@baldi161,1487195229769846797,,,,2022-01-28,
Deleted,@dltd2022act,1530015262249984009,DLTDACCT,,,2022-05-26,2022-06-20
Deleted,@dltdacct2022,1499276083505553411,DLTDACCT,,,2022-03-03,2022-06-20
Deleted,@f1sc6iai1vento,1411972061283635202,,,,2021-07-05,
Deleted,@inglaterranuova,327793692,,,,,
Deleted,@Inu161,1111447447450976256,,,,2019-03-28,
Deleted,@inu161,897954452157681700,,,,2017-08-16,
Deleted,@kamotverdaia,1476709661889941510,,,,2021-12-30,2022-01-24
Deleted,@krma161isabitch,1417751560944295938,,,,2021-07-20,2021-10-29
Deleted,@laquincebrigada,1416276371316174848,,,,2021-07-16,2021-10-27
Deleted,@marwencolrbo,1411972061283635202,,,,2021-07-05,
Deleted,@Misk161,803877035693264897,,,,,2020-02-02
Deleted,@nome__n__escio,1417751560944295938,,,,2021-07-20,2021-10-30
Deleted,@nome_n_escio,1417751560944295938,,,,2021-07-20,2021-10-30
Deleted,@Novanglus161,1325955943566364672,,,,2020-11-10,
Deleted,@red161partisan,1386757788106248194,,,,2021-04-26,2021-05-18
Deleted,@SJAntifa,803877035693264897,,,,,2017-08-23
Deleted,@WolftrapAF,803877035693264897,,,,,2018-08-27
Deleted,@zig161zag,1325955943566364672,,,,2020-11-10,2021-09-04
Deleted,@zig161zag,1530015262249984009,,,,2022-05-26,
Deleted,@zigzag161,1325955943566364672,,,,2020-11-10,2021-09-04
Deleted,@zigzagantifa,1386757788106248194,,,,2021-04-26,2021-05-18
Deleted,@zigzagantifa,1386757788106248200,,,,2021-04-26,2021-07-22
Deleted,@zz161zzz,1325955943566364,,,,2020-11-10,
Deleted,@zz161zzz,1325955943566364672,,,,2020-11-10,
Deleted,@zzz161zzz,1386757788106248194,,,,2021-04-26,2021-05-18
Name Changed,@AntEthereum,1012921731302871041,,,,2018-06-29,
Name Changed,@antifa_tiki,896562774779846658,Project Grizzly,20,14,2017-08-12,2018-02-10
Name Changed,@AntifaBinkys,902156160945573890,Dr. Tombstone ®️,32441,60656,2017-08-28,2022-06-25
Name Changed,@AntifaUtah,848040384039067648,Not a Victim,243,818,2017-03-31,
Name Changed,@baathsalt,818126854091485184,,,,,2022-06-29
Name Changed,@Bath_Antifa,601029755,,,,2012-06-06,2022-07-09
Name Changed,@BCashAuntiFa,1012921731302871041,,,,2018-06-29,
Name Changed,@Brutaltism,818126854091485184,,,,,2022-06-29
Name Changed,@BuckheadAnita,847970588773818368,Buckhead Antifa,81,1,2017-03-31,2017-04-02
Name Changed,@burnantifa,4805367912,,,,2016-01-23,2016-06-25
Name Changed,@Dwakefield69,304697021,,,,,
Name Changed,@folouofficial,717914842481500160,,,,2016-04-06,2017-09-13
Name Changed,@FtBraggAntifa,897941021555924992,,,,2017-08-16,2018-01-21
Name Changed,@GoingGies,1328113068,,,,,2019-09-01
Name Changed,@IRV_Antifa,816039689127739392,,,,,2022-07-09
Name Changed,@jawillerding,502446133,,,,2012-02-24,2017-04-06
Name Changed,@KaliLegdrop,818126854091485184,,,,,2022-06-29
Name Changed,@newaustinite,181782082,,,,2010-08-22,2017-10-07
Name Changed,@NWANTIFATAC,1056368950190202880,,,,2018-10-27,2019-05-09
Name Changed,@SFAntifa,850165175038525441,El Red Pill,377,629,2017-04-06,2018-01-04
Name Changed,@STexasAntifa,864299780364783616,Chris Thatch,29,1250,2017-05-15,2018-05-10
Name Changed,@Tactual100,848040384039067648,Not a Victim,243,818,2017-03-31,
Name Changed,@typical_twink,818126854091485184,,,,,2022-06-29
Name Changed,@USASOCandProud,897941021555924992,,,,2017-08-16,2018-01-21
Name Changed,@UtahAntiFascist,832359419203768320,,,,2017-02-16,2021-01-14
Name Changed,@BuffaloAntifa,832422851005313024,,,,2017-02-16,2022-07-10
Name Changed,@HillaryCli2020,832422851005313024,,,,2017-02-16,2022-07-10
Suspended,@AntifaOr,1304520055649169409,"President-Elect Lonerock Oregon Antifa, PhD",8,334,2020-09-11,2022-02-19
Suspended,@antifatoronto,1472034706451361795,Donald Francis Smith,5,17,2021-12-17,2022-03-12
Suspended,@NashvilleAntifa,820888747030016000,NashvilleAntifa,57,0,2017-01-16,2022-04-10
Suspended,@AntifaHoboslaya,1549393688211628032,Methy AntiFash Hoboslaya,16,316,2022-07-19,2022-08-01
Suspended,@AcadianaAntifa,821101105757163524,Acadiana Antifa,261,435,2017-01-16,2018-03-31
Suspended,@Adolf51358892,953341314925584384,Antifa-IN,4,7,2018-01-16,2018-01-23
Suspended,@afadjursholm,881598380396466176,AFA Djursholm,192,204,2017-07-02,2018-10-15
Suspended,@AfricaAntifa,927863990176317441,Yamcha,20,356,2017-11-07,2019-03-20
Suspended,@AjBenz31,913549921755828224,Aj Benz 🌹,12,33,2017-09-28,2017-10-12
